open_time,id,symbol,interval_time,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,daily_return,historical_volatility
2022-08-18 00:00:00+00:00,6,BTCUSDT,1d,23342.66,23600.0,23111.04,23191.2,144185.97011,2022-08-18 23:59:59.999000+00:00,3375338942.261788,6029662,71864.05086,1682458592.2075613,-0.006488549291297496,
2022-08-19 00:00:00+00:00,7,BTCUSDT,1d,23191.45,23208.67,20783.57,20834.39,283995.87747,2022-08-19 23:59:59.999000+00:00,6181759252.730264,8860928,139601.81043,3038568050.675256,-0.10162518541515753,
2022-08-20 00:00:00+00:00,8,BTCUSDT,1d,20834.39,21382.85,20761.9,21140.07,183041.68363,2022-08-20 23:59:59.999000+00:00,3871242921.22468,5723362,91862.59461,1943014391.2462528,0.014671895841442906,
2022-08-21 00:00:00+00:00,9,BTCUSDT,1d,21140.07,21800.0,21069.11,21515.61,159200.6841,2022-08-21 23:59:59.999000+00:00,3405034922.8070774,5034461,80239.2419,1716250543.035858,0.017764368802941632,
2022-08-22 00:00:00+00:00,10,BTCUSDT,1d,21516.7,21548.71,20890.18,21399.83,222222.04526,2022-08-22 23:59:59.999000+00:00,4721412016.903412,6443370,110925.72751,2356921868.623943,-0.0053812092708502846,
2022-08-23 00:00:00+00:00,11,BTCUSDT,1d,21400.75,21684.87,20890.14,21529.12,200967.77164,2022-08-23 23:59:59.999000+00:00,4299812533.944709,6333442,101222.30098,2165911837.1236906,0.006041636779357429,
2022-08-24 00:00:00+00:00,12,BTCUSDT,1d,21529.11,21900.0,21145.0,21368.08,174383.22046,2022-08-24 23:59:59.999000+00:00,3744196823.5648546,5561412,86499.84759,1857345193.8069584,-0.0074801013696795815,
2022-08-25 00:00:00+00:00,13,BTCUSDT,1d,21368.05,21819.88,21310.15,21559.04,169915.78301,2022-08-25 23:59:59.999000+00:00,3672148286.6013737,5618785,84555.07067,1827390010.1745017,0.008936694359062525,
2022-08-26 00:00:00+00:00,14,BTCUSDT,1d,21559.04,21886.77,20107.9,20241.05,273811.61955,2022-08-26 23:59:59.999000+00:00,5785149465.09769,7587244,135780.72507,2869440464.9916983,-0.061133983702428396,
2022-08-27 00:00:00+00:00,15,BTCUSDT,1d,20239.14,20402.93,19800.0,20037.6,162582.46032,2022-08-27 23:59:59.999000+00:00,3269764074.3564396,5263328,80922.99413,1627546028.5246556,-0.010051356031431258,
2022-08-28 00:00:00+00:00,16,BTCUSDT,1d,20037.6,20171.18,19520.0,19555.61,139307.95976,2022-08-28 23:59:59.999000+00:00,2781133881.0518456,4678693,69363.5072,1384969093.7702348,-0.024054277957439862,
2022-08-29 00:00:00+00:00,17,BTCUSDT,1d,19555.61,20433.62,19550.79,20285.73,210509.49545,2022-08-29 23:59:59.999000+00:00,4211334408.9865937,5840323,105809.86253,2116902111.20904,0.03733557787253883,
